modo,n_bodies,hilos,mediana_s,speedup,eficiencia
datos,500,1,0.030470999999999998,1.0375931213284764,1.0375931213284764
datos,500,2,0.0157535,2.006950836322087,1.0034754181610435
datos,500,4,0.0088325,3.579564109821681,0.8948910274554203
datos,500,8,0.009275499999999999,3.4086033097946205,0.42607541372432756
datos,2000,1,0.48954149999999996,0.948132078689958,0.948132078689958
datos,2000,2,0.2504285,1.853423232579359,0.9267116162896795
datos,2000,4,0.13199650000000002,3.5163811161659586,0.8790952790414897
datos,2000,8,0.0948895,4.891479036142039,0.6114348795177549
datos,5000,1,3.0987720000000003,0.9475647127313658,0.9475647127313658
datos,5000,2,1.6057445000000001,1.8286140790144383,0.9143070395072191
datos,5000,4,0.818894,3.58567409212914,0.896418523032285
datos,5000,8,0.584118,5.026872994840083,0.6283591243550104
datos,10000,1,12.622408,0.978400595195465,0.978400595195465
datos,10000,2,6.4385265,1.9181052528090083,0.9590526264045042
datos,10000,4,3.2765250000000004,3.7691674868954146,0.9422918717238536
datos,10000,8,2.3341000000000003,5.29102073604387,0.6613775920054837
espacial,500,1,0.03225,0.9803565891472867,0.9803565891472867
espacial,500,2,0.01816,1.7409966960352423,0.8704983480176212
espacial,500,4,0.012612,2.50685854741516,0.62671463685379
espacial,500,8,0.0114935,2.7508156784269366,0.3438519598033671
espacial,2000,1,0.5299085,0.8759059347038215,0.8759059347038215
espacial,2000,2,0.2750015,1.687808975587406,0.843904487793703
espacial,2000,4,0.193131,2.4032910304404784,0.6008227576101196
espacial,2000,8,0.128886,3.601244510652825,0.4501555638316031
espacial,5000,1,3.3465105,0.8774175368641456,0.8774175368641456
espacial,5000,2,1.724502,1.7026869206298398,0.8513434603149199
espacial,5000,4,1.223983,2.3989606064790117,0.5997401516197529
espacial,5000,8,0.8031405,3.656006638938019,0.4570008298672524
espacial,10000,1,13.608225000000001,0.9075225828497102,0.9075225828497102
espacial,10000,2,7.1305825,1.731944269630146,0.865972134815073
espacial,10000,4,5.099253,2.421878557506364,0.605469639376591
espacial,10000,8,3.5442745,3.4844286186072773,0.43555357732590966
tareas,500,1,0.026626,1.1874295801096673,1.1874295801096673
tareas,500,2,0.014382,2.198338200528438,1.099169100264219
tareas,500,4,0.015563500000000001,2.0314517942622157,0.5078629485655539
tareas,500,8,0.0182975,1.7279136494056564,0.21598920617570705
tareas,2000,1,0.4256895,1.0903487166115209,1.0903487166115209
tareas,2000,2,0.220905,2.101129444783957,1.0505647223919785
tareas,2000,4,0.1163815,3.9881768150436283,0.9970442037609071
tareas,2000,8,0.123861,3.7473458150668897,0.4684182268833612
tareas,5000,1,2.6642710000000003,1.1020977220410386,1.1020977220410386
tareas,5000,2,1.3785095,2.1300448056397143,1.0650224028198572
tareas,5000,4,0.704636,4.167097622034639,1.0417744055086597
tareas,5000,8,0.5692025000000001,5.158598214168068,0.6448247767710085
tareas,10000,1,10.5845015,1.1667787566566077,1.1667787566566077
tareas,10000,2,5.5010745,2.244974413635009,1.1224872068175045
tareas,10000,4,2.795993,4.416953654748062,1.1042384136870156
tareas,10000,8,2.065852,5.9780523967835055,0.7472565495979382
