modo,n_bodies,hilos,repeticion,kernel_s,total_s
datos,5000,4,2,4.035465,4.041258
datos,5000,4,3,3.871258,3.878066
datos,5000,4,4,4.406561,4.412519
datos,5000,4,5,3.760781,3.768475
datos,5000,4,6,3.725585,3.730987
datos,5000,4,7,3.865002,3.872799
datos,5000,4,8,3.776903,3.782711
datos,5000,4,9,3.623692,3.634922
datos,5000,4,10,4.003608,4.009895
datos,5000,8,1,5.003986,5.020414
datos,5000,8,2,2.653589,2.668672
datos,5000,8,3,4.314293,4.322533
datos,5000,8,4,3.902020,3.909979
datos,5000,8,5,3.410367,3.418934
datos,5000,8,6,4.997862,5.003794
datos,5000,8,7,4.499975,4.511255
datos,5000,8,8,3.675109,3.683566
datos,5000,8,9,4.688048,4.700889
datos,5000,8,10,4.017363,4.025634
datos,10000,1,1,27.210160,27.212014
datos,10000,1,2,29.078112,29.080272
datos,10000,1,3,28.322513,28.324448
datos,10000,1,4,27.956357,27.958166
datos,10000,1,5,30.629167,30.631153
datos,10000,1,6,28.524604,28.526732
datos,10000,1,7,28.266596,28.268455
datos,10000,1,8,27.881010,27.883306
datos,10000,1,9,27.579917,27.581784
datos,10000,1,10,30.849994,30.852425
datos,10000,2,1,15.398495,15.403497
datos,10000,2,2,15.808443,15.812895
datos,10000,2,3,15.429018,15.432825
datos,10000,2,4,16.077637,16.082136
datos,10000,2,5,16.069708,16.074327
datos,10000,2,6,18.254990,18.259971
datos,10000,2,7,18.118592,18.123800
datos,10000,2,8,18.401983,18.407189
datos,10000,2,9,17.745883,17.750437
datos,10000,2,10,19.374902,19.381024
datos,10000,4,1,14.624190,14.634906
datos,10000,4,2,12.815533,12.826172
datos,10000,4,3,12.820870,12.830946
datos,10000,4,4,12.307221,12.316837
datos,10000,4,5,12.102758,12.111520
datos,10000,4,6,12.749264,12.758468
datos,10000,4,7,12.061981,12.072010
datos,10000,4,8,12.761255,12.771603
datos,10000,4,9,12.231875,12.242250
datos,10000,4,10,12.339268,12.348382
datos,10000,8,1,11.921185,11.942447
datos,10000,8,2,11.557301,11.573320
datos,10000,8,3,12.153211,12.170210
datos,10000,8,4,11.372028,11.390857
datos,10000,8,5,11.405065,11.425740
datos,10000,8,6,11.979877,11.999653
datos,10000,8,7,11.303444,11.318682
datos,10000,8,8,11.588069,11.606494
datos,10000,8,9,12.028642,12.048417
datos,10000,8,10,14.484300,14.503383
espacial,500,1,1,0.015618,0.015733
espacial,500,1,2,0.013512,0.013620
espacial,500,1,3,0.020412,0.020579
espacial,500,1,4,0.019039,0.019192
espacial,500,1,5,0.020076,0.020394
espacial,500,1,6,0.018955,0.019103
espacial,500,1,7,0.023714,0.023890
espacial,500,1,8,0.021398,0.021584
espacial,500,1,9,0.019983,0.020140
espacial,500,1,10,0.020535,0.020689
espacial,500,2,1,0.013552,0.014112
espacial,500,2,2,0.038396,0.039526
espacial,500,2,3,0.008498,0.008878
espacial,500,2,4,0.010102,0.010230
espacial,500,2,5,0.014649,0.015056
espacial,500,2,6,0.013362,0.013821
espacial,500,2,7,0.012848,0.013187
espacial,500,2,8,0.015279,0.015682
espacial,500,2,9,0.014017,0.014418
espacial,500,2,10,0.013231,0.013533
espacial,500,4,1,0.016592,0.017301
espacial,500,4,2,0.017821,0.018941
espacial,500,4,3,0.015379,0.016006
espacial,500,4,4,0.015654,0.016995
espacial,500,4,5,0.017880,0.019060
espacial,500,4,6,0.012693,0.013720
espacial,500,4,7,0.019067,0.019904
espacial,500,4,8,0.016159,0.017458
espacial,500,4,9,0.016011,0.017048
espacial,500,4,10,0.018306,0.019531
espacial,500,8,1,0.197430,0.204480
espacial,500,8,2,0.017235,0.017653
espacial,500,8,3,0.167594,0.168649
espacial,500,8,4,0.004071,0.004496
espacial,500,8,5,0.052108,0.053294
espacial,500,8,6,0.020443,0.021101
espacial,500,8,7,0.263565,0.264195
espacial,500,8,8,0.121342,0.121827
espacial,500,8,9,0.019064,0.019522
espacial,500,8,10,0.056110,0.057157
espacial,2000,1,1,0.077628,0.078092
espacial,2000,1,2,0.086734,0.087244
espacial,2000,1,3,0.086951,0.087521
espacial,2000,1,4,0.075699,0.076435
espacial,2000,1,5,0.100044,0.100623
espacial,2000,1,6,0.097482,0.098306
espacial,2000,1,7,0.093666,0.094265
espacial,2000,1,8,0.095457,0.096052
espacial,2000,1,9,0.101469,0.102106
espacial,2000,1,10,0.094857,0.095456
espacial,2000,2,1,0.066382,0.068260
espacial,2000,2,2,0.064983,0.066594
espacial,2000,2,3,0.051439,0.052534
espacial,2000,2,4,0.053546,0.054170
espacial,2000,2,5,0.053537,0.054411
espacial,2000,2,6,0.060342,0.062062
espacial,2000,2,7,0.062401,0.064108
espacial,2000,2,8,0.054866,0.056039
espacial,2000,2,9,0.069924,0.071622
espacial,2000,2,10,0.051851,0.052588
espacial,2000,4,1,0.055621,0.059583
espacial,2000,4,2,0.051658,0.054324
espacial,2000,4,3,0.029400,0.031545
espacial,2000,4,4,0.037828,0.039217
espacial,2000,4,5,0.039026,0.041081
espacial,2000,4,6,0.064080,0.067697
espacial,2000,4,7,0.056342,0.059628
espacial,2000,4,8,0.066175,0.070577
espacial,2000,4,9,0.049509,0.052583
espacial,2000,4,10,0.061451,0.065977
espacial,2000,8,1,0.259386,0.263362
espacial,2000,8,2,0.245198,0.248244
espacial,2000,8,3,0.144990,0.146918
espacial,2000,8,4,0.287551,0.291229
espacial,2000,8,5,0.292400,0.294246
espacial,2000,8,6,0.153528,0.155530
espacial,2000,8,7,0.128593,0.130796
espacial,2000,8,8,0.358838,0.360477
espacial,2000,8,9,0.215727,0.217423
espacial,2000,8,10,0.348950,0.350536
espacial,5000,1,1,0.249398,0.250862
espacial,5000,1,2,0.245495,0.247093
espacial,5000,1,3,0.204082,0.205420
espacial,5000,1,4,0.242433,0.243902
espacial,5000,1,5,0.229954,0.231620
espacial,5000,1,6,0.250563,0.252032
espacial,5000,1,7,0.207788,0.208947
espacial,5000,1,8,0.238919,0.240296
espacial,5000,1,9,0.230573,0.232027
espacial,5000,1,10,0.176676,0.177768
espacial,5000,2,1,0.112307,0.115267
espacial,5000,2,2,0.130010,0.132764
espacial,5000,2,3,0.154034,0.157632
espacial,5000,2,4,0.159754,0.163339
espacial,5000,2,5,0.150664,0.154287
espacial,5000,2,6,0.134904,0.137647
espacial,5000,2,7,0.150640,0.153690
espacial,5000,2,8,0.147594,0.150132
espacial,5000,2,9,0.141061,0.144170
espacial,5000,2,10,0.118962,0.122052
espacial,5000,4,1,0.095232,0.099238
espacial,5000,4,2,0.095937,0.100486
espacial,5000,4,3,0.093794,0.097403
espacial,5000,4,4,0.112343,0.116179
espacial,5000,4,5,0.085928,0.091780
espacial,5000,4,6,0.094992,0.098675
espacial,5000,4,7,0.098680,0.104846
espacial,5000,4,8,0.079396,0.083791
espacial,5000,4,9,0.093345,0.097448
espacial,5000,4,10,0.087748,0.090885
espacial,5000,8,1,0.342158,0.347351
espacial,5000,8,2,0.325989,0.334210
espacial,5000,8,3,0.408542,0.413111
espacial,5000,8,4,0.063327,0.069644
espacial,5000,8,5,0.206423,0.217070
espacial,5000,8,6,0.348553,0.356455
espacial,5000,8,7,0.221164,0.225574
espacial,5000,8,8,0.266439,0.272443
espacial,5000,8,9,0.293283,0.297297
espacial,5000,8,10,0.267764,0.274689
espacial,10000,1,1,0.457873,0.460267
espacial,10000,1,2,0.347385,0.349486
espacial,10000,1,3,0.419772,0.421991
espacial,10000,1,4,0.464085,0.466357
espacial,10000,1,5,0.324857,0.326576
espacial,10000,1,6,0.412344,0.414450
espacial,10000,1,7,0.409265,0.411478
espacial,10000,1,8,0.417536,0.419890
espacial,10000,1,9,0.384629,0.386863
espacial,10000,1,10,0.346820,0.348585
espacial,10000,2,1,0.193026,0.196061
espacial,10000,2,2,0.263488,0.268216
espacial,10000,2,3,0.269262,0.273875
espacial,10000,2,4,0.266424,0.271301
espacial,10000,2,5,0.249809,0.254444
espacial,10000,2,6,0.233182,0.236533
espacial,10000,2,7,0.211713,0.214703
espacial,10000,2,8,0.267655,0.272345
espacial,10000,2,9,0.188483,0.191973
espacial,10000,2,10,0.208813,0.212057
espacial,10000,4,1,0.160036,0.168603
espacial,10000,4,2,0.270794,0.277498
espacial,10000,4,3,0.163383,0.170196
espacial,10000,4,4,0.155933,0.164257
espacial,10000,4,5,0.159675,0.165959
espacial,10000,4,6,0.161141,0.166850
espacial,10000,4,7,0.171688,0.177439
espacial,10000,4,8,0.150553,0.157099
espacial,10000,4,9,0.181101,0.188909
espacial,10000,4,10,0.164863,0.171703
espacial,10000,8,1,0.357024,0.364778
espacial,10000,8,2,0.341304,0.348177
espacial,10000,8,3,0.376519,0.388116
espacial,10000,8,4,0.402210,0.412240
espacial,10000,8,5,0.323897,0.331467
espacial,10000,8,6,0.371826,0.380949
espacial,10000,8,7,0.359913,0.366949
espacial,10000,8,8,0.415393,0.431518
espacial,10000,8,9,0.286257,0.294681
espacial,10000,8,10,0.128004,0.139821
tareas,500,1,1,0.139761,0.139943
tareas,500,1,2,0.123805,0.123934
tareas,500,1,3,0.132338,0.132500
tareas,500,1,4,0.108818,0.108940
tareas,500,1,5,0.127575,0.127750
tareas,500,1,6,0.127256,0.127418
tareas,500,1,7,0.128772,0.128924
tareas,500,1,8,0.119922,0.120086
tareas,500,1,9,0.128549,0.128812
tareas,500,1,10,0.163665,0.164058
tareas,500,2,1,0.034866,0.035006
tareas,500,2,2,0.067021,0.067354
tareas,500,2,3,0.071563,0.071823
tareas,500,2,4,0.067740,0.068023
tareas,500,2,5,0.082795,0.083084
tareas,500,2,6,0.079095,0.079552
tareas,500,2,7,0.059482,0.059768
tareas,500,2,8,0.072891,0.073287
tareas,500,2,9,0.071583,0.071861
